index,name,rotation,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15
91,Display 20 Percent,3,0,63,0,192,0,63,0,0,0,71,0,200,0,200,0,176
92,Display 30 Percent,0,0,163,0,84,0,84,0,83,0,84,0,84,0,84,0,163
93,Display 30 Percent,1,0,192,0,200,0,200,0,55,0,0,0,63,0,192,0,63
94,Display 30 Percent,2,0,113,0,138,0,138,0,138,0,178,0,138,0,138,0,113
95,Display 30 Percent,3,0,63,0,192,0,63,0,0,0,59,0,196,0,196,0,192
96,Display 40 Percent,0,0,34,0,83,0,210,0,210,0,215,0,82,0,82,0,34
97,Display 40 Percent,1,0,28,0,36,0,255,0,4,0,0,0,63,0,192,0,63
98,Display 40 Percent,2,0,17,0,146,0,146,0,250,0,210,0,210,0,178,0,17
99,Display 40 Percent,3,0,63,0,192,0,63,0,0,0,8,0,255,0,9,0,14
100,Display 50 Percent,0,0,167,0,208,0,208,0,83,0,84,0,84,0,84,0,163
101,Display 50 Percent,1,0,240,0,200,0,200,0,71,0,0,0,63,0,192,0,63
102,Display 50 Percent,2,0,113,0,138,0,138,0,138,0,178,0,194,0,194,0,121
103,Display 50 Percent,3,0,63,0,192,0,63,0,0,0,184,0,196,0,196,0,195
104,Display 60 Percent,0,0,39,0,208,0,208,0,211,0,212,0,212,0,212,0,35
105,Display 60 Percent,1,0,63,0,200,0,200,0,71,0,0,0,63,0,192,0,63
106,Display 60 Percent,2,0,49,0,202,0,202,0,202,0,242,0,194,0,194,0,57
107,Display 60 Percent,3,0,63,0,192,0,63,0,0,0,184,0,196,0,196,0,63
108,Display 70 Percent,0,0,167,0,84,0,84,0,83,0,82,0,81,0,81,0,160
109,Display 70 Percent,1,0,192,0,75,0,76,0,112,0,0,0,63,0,192,0,63
110,Display 70 Percent,2,0,65,0,162,0,162,0,146,0,178,0,138,0,138,0,121
111,Display 70 Percent,3,0,63,0,192,0,63,0,0,0,131,0,140,0,180,0,192
